id,title,description,availability,availability_date,expiration_date,link,mobile_link,image_link,price,sale_price,sale_price_effective_date,identifier_exists,gtin,mpn,brand,product_highlight,product_highlight,product_highlight,product_highlight,product_detail,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,additional_image_link,condition,adult,color,size,size_type,size_system,gender,material,pattern,age_group,multipack,is bundle,unit_pricing_measure,unit_pricing_base_measure,energy_efficiency_class,min_energy_efficiency_class,max_energy_efficiency,item_group_id,video_link,virtual_model_link,cost_of_goods_sold,google_product_category,product_type,shipping,shipping_weight,min_handling_time,max_handling_time,min_transit_time,max_transit_time
686114002029,22lb Solstice EZ-Flush HVAC System Cleaner,"Solstice EZ-Flush is Honeywell's HVAC system cleaner, sold here in a 22-pound container. It is a cleaning product, not a refrigerant charge, so it belongs in the flushing step of a service job and never goes into a system as a fill.
Solstice is Honeywell's own line name, which matters when a specification calls for the branded cleaner rather than a generic flush. The container arrives factory sealed. Home24Care stocks it for professional and commercial service work and lists it as compliant with EPA regulations.",in_stock,,,https://home24care.com/products/22lb-solstice-ez-flush-hvac-system-cleaner,,https://home24care.com/product-images/f7f357ce42383515-feed.jpg,449.00 USD,,,,,686114002029,Honeywell,"At igvagas, we provide premium Premium Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,22 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Legacy Refrigerants,US:::0.00 USD,22 lb,0,1,1,3
r404a-refrigerants-24lb-58,"24lb R-404A Refrigerant, Factory Sealed, 100% Virgin – USA Brand","Twenty-four pounds of R-404A from a USA brand, factory sealed and 100 percent virgin. The cylinder has not been opened or decanted since it was filled, which is the practical difference between this listing and the reclaimed R-404A sold alongside it at the same 24-pound size.
Home24Care lists it under commercial refrigerants for professional use, and it is described as compliant with EPA regulations. Twenty-four pounds is the cylinder size the store carries across its R-404A range.",in_stock,,,https://home24care.com/products/24lb-r-404a-refrigerant-factory-sealed-100-virgin-usa-brand,,https://home24care.com/product-images/f3ff825e0e0977fe-feed.jpg,190.00 USD,,,,,r404a-refrigerants-24lb-58,Home24Care,"At igvagas, we provide premium R-404A Commercial Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,24 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Commercial Refrigerants,US:::0.00 USD,34 lb,0,1,1,3
24lb-r-404a-refrigerant-factory-sealed-4,"24lb R-404A Refrigerant, Reclaimed","Reclaimed R-404A in a 24-pound cylinder. Reclaimed means the refrigerant was recovered from equipment already in the field and reprocessed, which is what separates this cylinder from the virgin R-404A listed beside it in the same size.
Home24Care also lists a California compliant version of reclaimed R-404A, so check which of the two the job actually calls for before ordering. This one is stocked for commercial refrigeration work and is listed as compliant with EPA regulations.",in_stock,,,https://home24care.com/products/24lb-r-404a-refrigerant-reclaimed,,https://home24care.com/product-images/87bc24fdcd5f4259-feed.jpg,110.00 USD,,,,,24lb-r-404a-refrigerant-factory-sealed-4,Home24Care,"At igvagas, we provide premium R-404A Commercial Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,24 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Commercial Refrigerants,US:::0.00 USD,34 lb,0,1,1,3
404a RECOVERED,"24lb R-404A Refrigerant, Reclaimed, California Compliant – Made in USA","California compliant is the line that matters on this 24-pound cylinder of reclaimed R-404A. If the job sits in California, that is the distinction to check before ordering any R-404A. The refrigerant is made in the USA.
As with the other reclaimed stock, what is in the cylinder was recovered from equipment in the field and reprocessed rather than produced new. Home24Care lists it under commercial refrigerants and describes it as compliant with EPA regulations.",in_stock,,,https://home24care.com/products/24lb-r-404a-refrigerant-reclaimed-california-compliant-made-in-usa,,https://home24care.com/product-images/6ca08d2510be12c0-feed.jpg,250.00 USD,,,,,404a RECOVERED,Home24Care,"At igvagas, we provide premium R-404A Commercial Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,24 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Commercial Refrigerants,US:::0.00 USD,35 lb,0,1,1,3
410H-4,"25lb Honeywell R-410A Refrigerant, Virgin Sealed – Made in USA","Honeywell puts its R-410A in a 25-pound cylinder, virgin and sealed, made in the USA. The name on the jug is the reason to take this one over the house-label cylinder of the same size and grade that Home24Care also carries.
Twenty-five pounds is the working size for this refrigerant here, with a 1.5-pound cylinder listed for smaller jobs and a half pallet for shops that go through it. R-410A is the HVAC grade in this range, and the cylinder is listed as compliant with EPA regulations.",in_stock,,,https://home24care.com/products/25lb-honeywell-r-410a-refrigerant-virgin-sealed-made-in-usa,,https://home24care.com/product-images/f64a64d250671607-feed.jpg,109.00 USD,,,,,410H-4,Honeywell,"At igvagas, we provide premium R-410A HVAC Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,25 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > HVAC Refrigerants,US:::0.00 USD,36 lb,0,1,1,3
407A,"25lb R-407A Refrigerant, Factory Sealed","Twenty-five pounds is the only size Home24Care lists for R-407A, and the cylinder arrives factory sealed with virgin refrigerant. It is filed under specialty refrigerants, though the work it goes into is ordinary HVAC service.
Check the equipment nameplate for the refrigerant it calls for before ordering, since the 400-series grades run close together in name and are not swapped on a hunch. The cylinder is sold for professional and commercial use and is listed as compliant with EPA regulations.",in_stock,,,https://home24care.com/products/25lb-r-407a-refrigerant-factory-sealed,,https://home24care.com/product-images/c508a06d54b928a6-feed.jpg,159.00 USD,,,,,407A,Home24Care,"At igvagas, we provide premium R-407 HVAC Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,25 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Specialty Refrigerants,US:::0.00 USD,36 lb,0,1,1,3
410A,"25lb R-410A Refrigerant, Virgin Sealed – Made in USA","The house-label R-410A cylinder, 25 pounds, virgin and sealed, made in the USA. It sits next to the Honeywell cylinder of the same size and grade, and the choice between them comes down to whether the brand on the jug matters to the customer or the contract.
R-410A is used in HVAC systems and this one is sold for professional and commercial service, with a 1.5-pound cylinder listed separately for small jobs. It is described as compliant with EPA regulations.",in_stock,,,https://home24care.com/products/25lb-r-410a-refrigerant-virgin-sealed-made-in-usa,,https://home24care.com/product-images/e9e760a08d7662da-feed.jpg,109.00 USD,,,,,410A,Home24Care,"At igvagas, we provide premium R-410A HVAC Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,25 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > HVAC Refrigerants,US:::0.00 USD,36 lb,0,1,1,3
r421a-refrigerant-25lb-1-14,"25lb R-421A Refrigerant, R-22 Alternative","R-421A is offered as an alternative to R-22, and this is the 25-pound cylinder of it, factory sealed with virgin refrigerant. That puts it in front of equipment still running the older grade.
Alternative means it is sold for those systems, not that it behaves identically to what came out of them, so the equipment gets checked rather than assumed. Home24Care keeps it in the HVAC refrigerant range for professional and commercial service and lists it as compliant with EPA regulations.",in_stock,,,https://home24care.com/products/25lb-r-421a-refrigerant-r-22-alternative,,https://home24care.com/product-images/d8c14c5eea2320a5-feed.jpg,275.00 USD,,,,,r421a-refrigerant-25lb-1-14,Home24Care,"At igvagas, we provide premium R-22 Legacy Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,25 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > HVAC Refrigerants,US:::0.00 USD,36 lb,0,1,1,3
424,25lb R-422B (NU-22) Refrigerant,"R-422B, sold under the NU-22 designation, in a 25-pound cylinder. A specification written under either name points to the same cylinder, which is worth knowing when the paperwork and the jug do not use the same wording.
Home24Care groups it with the legacy refrigerants, the same range that holds R-22 itself, and 25 pounds is the only size listed for it. The cylinder is factory sealed with virgin refrigerant and is listed as compliant with EPA regulations. It is stocked for professional and commercial service rather than casual use.",in_stock,,,https://home24care.com/products/25lb-r-422b-nu-22-refrigerant,,https://home24care.com/product-images/d72e969e4ceffee8-feed.jpg,11200.00 USD,,,,,424,Home24Care,"At igvagas, we provide premium R-22 Legacy Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,25 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Legacy Refrigerants,US:::0.00 USD,35 lb,0,1,1,3
40-422D,25lb R-422D Refrigerant,"A 25-pound cylinder of R-422D, factory sealed with virgin refrigerant. Home24Care carries it among the legacy refrigerants, and 25 pounds is the only size listed for the grade.
The listing gives the grade and the cylinder size and not much beyond that, so match it against what the equipment nameplate calls for rather than assuming a substitution will hold. It is described as compliant with EPA regulations and sold for professional and commercial use.",in_stock,,,https://home24care.com/products/25lb-r-422d-refrigerant,,https://home24care.com/product-images/8242b12c551d4d2b-feed.jpg,15960.00 USD,,,,,40-422D,Home24Care,"At igvagas, we provide premium Premium Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,25 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Legacy Refrigerants,US:::0.00 USD,36 lb,0,1,1,3
440,"25lb R-438A (Mo99) Refrigerant, R-22 Replacement","R-438A, carried under the MO99 designation, is offered as a replacement for R-22 and comes in a 25-pound cylinder. The refrigerant is virgin and the cylinder is factory sealed.
Both names refer to the same product, so a job sheet written for MO99 and one written for R-438A land on this listing. Home24Care files it with the legacy refrigerants for professional and commercial service and describes it as compliant with EPA regulations. Confirm the equipment is suitable for R-438A before charging.",in_stock,,,https://home24care.com/products/25lb-r-438a-mo99-refrigerant-r-22-replacement,,https://home24care.com/product-images/69692d1f4c75f8c3-feed.jpg,345.00 USD,,,,,440,Home24Care,"At igvagas, we provide premium R-22 Legacy Refrigerant solutions for HVAC, automotive, and commercial refrigeration systems. Our products are:",✓ Factory sealed and virgin,✓ Made in USA – Highest quality standards,✓ Certified and compliant with EPA regulations,,,,,,,,,new,no,,,,,,,,,,no,25 lb,,,,,,,,,"Hardware > Heating, Ventilation & Air Conditioning",Refrigerants & Gases > Legacy Refrigerants,US:::0.00 USD,36 lb,0,1,1,3
